Date,^GSPC,^IXIC,^DJI,^RUT,^VIX,AAPL,MSFT,AMZN,GOOGL,TSLA,AAL,UAL,MAR,XOM,CVX,JPM,GS,GLD,TLT
2020-01-02,3257.85009765625,9092.1904296875,28868.80078125,1666.77001953125,12.470000267028809,72.4682388305664,152.7910919189453,94.90049743652344,67.9652328491211,28.68400001525879,28.982892990112305,89.73999786376953,145.8574981689453,53.661720275878906,93.95562744140625,119.57335662841797,204.1898956298828,143.9499969482422,116.30686950683594
2020-01-03,3234.85009765625,9020.76953125,28634.880859375,1660.8699951171875,14.020000457763672,71.76373291015625,150.8885955810547,93.74849700927734,67.60968017578125,29.534000396728516,27.548194885253906,87.9000015258789,143.7200164794922,53.230308532714844,93.63064575195312,117.99542999267578,201.80221557617188,145.86000061035156,118.0980224609375
2020-01-06,3246.280029296875,9071.4697265625,28703.380859375,1663.260009765625,13.850000381469727,72.33554077148438,151.27865600585938,95.14399719238281,69.41175842285156,30.1026668548584,27.219409942626953,87.69999694824219,141.86175537109375,53.63900375366211,93.31342315673828,117.90160369873047,203.86741638183594,147.38999938964844,117.42742156982422
2020-01-07,3237.179931640625,9068.580078125,28583.6796875,1658.31005859375,13.789999961853027,71.99537658691406,149.89932250976562,95.34300231933594,69.27767944335938,31.270666122436523,27.11977767944336,86.7699966430664,139.55101013183594,53.20002365112305,92.12185668945312,115.89720153808594,205.20947265625,147.97000122070312,116.85014343261719
2020-01-08,3253.050048828125,9129.240234375,28745.08984375,1663.5899658203125,13.449999809265137,73.15350341796875,152.28697204589844,94.59850311279297,69.77078247070312,32.80933380126953,27.73749542236328,87.30000305175781,141.27444458007812,52.39774703979492,91.06956481933594,116.80130004882812,207.18756103515625,146.86000061035156,116.07765197753906
2020-01-09,3274.699951171875,9203.4296875,28956.900390625,1664.989990234375,12.539999961853027,74.70732879638672,154.189453125,95.05249786376953,70.50323486328125,32.089332580566406,27.847091674804688,87.94999694824219,141.00485229492188,52.79888916015625,90.92256164550781,117.22777557373047,211.4051971435547,146.02999877929688,116.48515319824219
2020-01-10,3265.35009765625,9178.8603515625,28823.76953125,1657.6400146484375,12.5600004196167,74.87622833251953,153.4760284423828,94.15799713134766,70.95858001708984,31.876667022705078,27.219409942626953,87.30999755859375,139.98426818847656,52.32963180541992,90.09464263916016,116.05928039550781,210.97821044921875,146.91000366210938,117.52081298828125
2020-01-13,3288.1298828125,9273.9296875,28907.05078125,1669.6099853515625,12.319999694824219,76.47589874267578,155.32147216796875,94.56500244140625,71.50830078125,34.990665435791016,27.289152145385742,86.88999938964844,141.34182739257812,52.829158782958984,90.264892578125,117.02306365966797,213.67958068847656,145.82000732421875,117.16423034667969
2020-01-14,3283.14990234375,9251.330078125,28939.669921875,1675.739990234375,12.390000343322754,75.44322204589844,154.2275390625,93.47200012207031,71.03953552246094,35.861331939697266,27.428638458251953,87.8499984741211,141.67881774902344,52.37504577636719,89.98632049560547,118.38778686523438,214.0717315673828,145.69000244140625,117.76692199707031
2020-01-15,3289.2900390625,9258.7001953125,29030.220703125,1682.4000244140625,12.420000076293945,75.11991882324219,155.22633361816406,93.10099792480469,71.46709442138672,34.56666564941406,27.478452682495117,88.29000091552734,141.82325744628906,52.29179000854492,89.85478210449219,116.61366271972656,213.67958068847656,146.5399932861328,118.54790496826172
2020-01-16,3316.81005859375,9357.1298828125,29297.640625,1705.219970703125,12.319999694824219,76.06090545654297,158.0706024169922,93.89700317382812,72.01133728027344,34.232666015625,28.126060485839844,89.54000091552734,143.4792938232422,52.08744430541992,90.44283294677734,117.06571960449219,217.60963439941406,146.30999755859375,118.17445373535156
2020-01-17,3329.6201171875,9388.9404296875,29348.099609375,1699.6400146484375,12.100000381469727,76.9029769897461,158.95530700683594,93.23600006103516,73.46926879882812,34.03333282470703,28.295433044433594,89.69999694824219,144.67318725585938,51.890655517578125,89.42923736572266,117.87602233886719,217.38314819335938,146.5800018310547,117.16423034667969
2020-01-21,3320.7900390625,9370.8095703125,29196.0390625,1685.9000244140625,12.850000381469727,76.38182830810547,158.38453674316406,94.5999984741211,73.6048355102539,36.47999954223633,27.099853515625,85.79000091552734,139.00218200683594,51.148921966552734,87.67282104492188,116.71603393554688,214.10659790039062,146.74000549316406,118.39512634277344
