Date,^GSPC
1987-01-02,246.4499969482422
1987-01-05,252.19000244140625
1987-01-06,252.77999877929688
1987-01-07,255.3300018310547
1987-01-08,257.2799987792969
1987-01-09,258.7300109863281
1987-01-12,260.29998779296875
1987-01-13,259.95001220703125
1987-01-14,262.6400146484375
1987-01-15,265.489990234375
1987-01-16,266.2799987792969
1987-01-19,269.3399963378906
1987-01-20,269.0400085449219
1987-01-21,267.8399963378906
1987-01-22,273.9100036621094
1987-01-23,270.1000061035156
1987-01-26,269.6099853515625
1987-01-27,273.75
1987-01-28,275.3999938964844
1987-01-29,274.239990234375
1987-01-30,274.0799865722656
1987-02-02,276.45001220703125
1987-02-03,275.989990234375
1987-02-04,279.6400146484375
1987-02-05,281.1600036621094
1987-02-06,280.0400085449219
1987-02-09,278.1600036621094
1987-02-10,275.07000732421875
1987-02-11,277.5400085449219
1987-02-12,275.6199951171875
1987-02-13,279.70001220703125
1987-02-17,285.489990234375
1987-02-18,285.4200134277344
1987-02-19,285.57000732421875
1987-02-20,285.4800109863281
1987-02-23,282.3800048828125
1987-02-24,282.8800048828125
1987-02-25,284.0
1987-02-26,282.9599914550781
1987-02-27,284.20001220703125
1987-03-02,283.0
1987-03-03,284.1199951171875
1987-03-04,288.6199951171875
1987-03-05,290.5199890136719
1987-03-06,290.6600036621094
1987-03-09,288.29998779296875
1987-03-10,290.8599853515625
1987-03-11,290.30999755859375
1987-03-12,291.2200012207031
1987-03-13,289.8900146484375
1987-03-16,288.2300109863281
1987-03-17,292.4700012207031
1987-03-18,292.7799987792969
1987-03-19,294.0799865722656
1987-03-20,298.1700134277344
1987-03-23,301.1600036621094
1987-03-24,301.6400146484375
1987-03-25,300.3800048828125
1987-03-26,300.92999267578125
1987-03-27,296.1300048828125
1987-03-30,289.20001220703125
1987-03-31,291.70001220703125
1987-04-01,292.3800048828125
1987-04-02,293.6300048828125
1987-04-03,300.4100036621094
1987-04-06,301.95001220703125
1987-04-07,296.69000244140625
1987-04-08,297.260009765625
1987-04-09,292.8599853515625
1987-04-10,292.489990234375
1987-04-13,285.6199951171875
1987-04-14,279.1600036621094
1987-04-15,284.44000244140625
1987-04-16,286.9100036621094
1987-04-20,286.0899963378906
1987-04-21,293.07000732421875
1987-04-22,287.19000244140625
1987-04-23,286.82000732421875
1987-04-24,281.5199890136719
1987-04-27,281.8299865722656
1987-04-28,282.510009765625
1987-04-29,284.57000732421875
1987-04-30,288.3599853515625
1987-05-01,288.0299987792969
1987-05-04,289.3599853515625
1987-05-05,295.3399963378906
1987-05-06,295.4700012207031
1987-05-07,294.7099914550781
1987-05-08,293.3699951171875
1987-05-11,291.57000732421875
1987-05-12,293.29998779296875
1987-05-13,293.9800109863281
1987-05-14,294.239990234375
1987-05-15,287.42999267578125
1987-05-18,286.6499938964844
1987-05-19,279.6199951171875
1987-05-20,278.2099914550781
1987-05-21,280.1700134277344
1987-05-22,282.1600036621094
1987-05-26,289.1099853515625
1987-05-27,288.7300109863281
1987-05-28,290.760009765625
1987-05-29,290.1000061035156
1987-06-01,289.8299865722656
1987-06-02,288.4599914550781
1987-06-03,293.4700012207031
1987-06-04,295.0899963378906
1987-06-05,293.45001220703125
1987-06-08,296.7200012207031
1987-06-09,297.2799987792969
1987-06-10,297.4700012207031
1987-06-11,298.7300109863281
1987-06-12,301.6199951171875
1987-06-15,303.1400146484375
1987-06-16,304.760009765625
1987-06-17,304.80999755859375
1987-06-18,305.69000244140625
1987-06-19,306.9700012207031
1987-06-22,309.6499938964844
1987-06-23,308.42999267578125
1987-06-24,306.8599853515625
1987-06-25,308.9599914550781
1987-06-26,307.1600036621094
1987-06-29,307.8999938964844
1987-06-30,304.0
1987-07-01,302.94000244140625
1987-07-02,305.6300048828125
1987-07-06,304.9200134277344
1987-07-07,307.3999938964844
1987-07-08,308.2900085449219
1987-07-09,307.5199890136719
1987-07-10,308.3699951171875
1987-07-13,307.6300048828125
1987-07-14,310.67999267578125
1987-07-15,310.4200134277344
1987-07-16,312.70001220703125
1987-07-17,314.5899963378906
1987-07-20,311.3900146484375
1987-07-21,308.54998779296875
1987-07-22,308.4700012207031
1987-07-23,307.80999755859375
1987-07-24,309.2699890136719
1987-07-27,310.6499938964844
1987-07-28,312.3299865722656
1987-07-29,315.6499938964844
1987-07-30,318.04998779296875
1987-07-31,318.6600036621094
1987-08-03,317.57000732421875
1987-08-04,316.2300109863281
1987-08-05,318.45001220703125
1987-08-06,322.0899963378906
1987-08-07,323.0
1987-08-10,328.0
1987-08-11,333.3299865722656
1987-08-12,332.3900146484375
1987-08-13,334.6499938964844
1987-08-14,333.989990234375
1987-08-17,334.1099853515625
1987-08-18,329.25
1987-08-19,329.8299865722656
1987-08-20,334.8399963378906
1987-08-21,335.8999938964844
1987-08-24,333.3299865722656
1987-08-25,336.7699890136719
1987-08-26,334.57000732421875
1987-08-27,331.3800048828125
1987-08-28,327.0400085449219
1987-08-31,329.79998779296875
1987-09-01,323.3999938964844
1987-09-02,321.67999267578125
1987-09-03,320.2099914550781
1987-09-04,316.70001220703125
1987-09-08,313.55999755859375
1987-09-09,313.9200134277344
1987-09-10,317.1300048828125
1987-09-11,321.9800109863281
1987-09-14,323.0799865722656
1987-09-15,317.739990234375
1987-09-16,314.8599853515625
1987-09-17,314.92999267578125
1987-09-18,314.8599853515625
1987-09-21,310.5400085449219
1987-09-22,319.5
1987-09-23,321.19000244140625
1987-09-24,319.7200012207031
1987-09-25,320.1600036621094
1987-09-28,323.20001220703125
1987-09-29,321.69000244140625
1987-09-30,321.8299865722656
1987-10-01,327.3299865722656
1987-10-02,328.07000732421875
1987-10-05,328.0799865722656
1987-10-06,319.2200012207031
1987-10-07,318.5400085449219
1987-10-08,314.1600036621094
1987-10-09,311.07000732421875
1987-10-12,309.3900146484375
1987-10-13,314.5199890136719
1987-10-14,305.2300109863281
1987-10-15,298.0799865722656
1987-10-16,282.70001220703125
1987-10-19,224.83999633789062
1987-10-20,236.8300018310547
1987-10-21,258.3800048828125
1987-10-22,248.25
1987-10-23,248.22000122070312
1987-10-26,227.6699981689453
1987-10-27,233.19000244140625
1987-10-28,233.27999877929688
1987-10-29,244.77000427246094
1987-10-30,251.7899932861328
1987-11-02,255.75
