Date,^IXIC
1998-01-02,1581.530029296875
1998-01-05,1594.1199951171875
1998-01-06,1580.1400146484375
1998-01-07,1561.699951171875
1998-01-08,1555.5400390625
1998-01-09,1503.219970703125
1998-01-12,1507.5799560546875
1998-01-13,1541.6300048828125
1998-01-14,1548.760009765625
1998-01-15,1547.06005859375
1998-01-16,1562.8800048828125
1998-01-20,1590.1400146484375
1998-01-21,1587.9200439453125
1998-01-22,1576.510009765625
1998-01-23,1575.9300537109375
1998-01-26,1561.4599609375
1998-01-27,1578.9000244140625
1998-01-28,1610.8199462890625
1998-01-29,1619.489990234375
1998-01-30,1619.3599853515625
1998-02-02,1652.8900146484375
1998-02-03,1666.3399658203125
1998-02-04,1680.43994140625
1998-02-05,1676.9000244140625
1998-02-06,1694.3499755859375
1998-02-09,1690.4300537109375
1998-02-10,1709.0400390625
1998-02-11,1708.550048828125
1998-02-12,1714.3399658203125
1998-02-13,1710.4200439453125
1998-02-17,1703.4300537109375
1998-02-18,1715.72998046875
1998-02-19,1727.010009765625
1998-02-20,1728.1300048828125
1998-02-23,1751.760009765625
1998-02-24,1738.7099609375
1998-02-25,1766.47998046875
1998-02-26,1777.1099853515625
1998-02-27,1770.510009765625
1998-03-02,1758.5400390625
1998-03-03,1757.1400146484375
1998-03-04,1759.699951171875
1998-03-05,1711.9200439453125
1998-03-06,1753.489990234375
1998-03-09,1725.1600341796875
1998-03-10,1748.510009765625
1998-03-11,1756.8499755859375
1998-03-12,1764.06005859375
1998-03-13,1771.6600341796875
1998-03-16,1788.1800537109375
1998-03-17,1779.300048828125
1998-03-18,1788.280029296875
1998-03-19,1799.97998046875
1998-03-20,1789.1600341796875
1998-03-23,1792.510009765625
1998-03-24,1812.43994140625
1998-03-25,1824.510009765625
1998-03-26,1828.5400390625
1998-03-27,1823.6199951171875
1998-03-30,1818.699951171875
1998-03-31,1835.6800537109375
1998-04-01,1847.6600341796875
1998-04-02,1852.9599609375
1998-04-03,1855.4000244140625
1998-04-06,1829.1400146484375
1998-04-07,1798.7099609375
1998-04-08,1807.010009765625
1998-04-09,1820.239990234375
1998-04-13,1824.949951171875
1998-04-14,1843.030029296875
1998-04-15,1863.260009765625
1998-04-16,1858.239990234375
1998-04-17,1866.5999755859375
1998-04-20,1887.1400146484375
1998-04-21,1903.8699951171875
1998-04-22,1917.6099853515625
1998-04-23,1881.3900146484375
1998-04-24,1868.9599609375
1998-04-27,1820.31005859375
1998-04-28,1831.77001953125
1998-04-29,1851.6400146484375
1998-04-30,1868.4100341796875
1998-05-01,1873.43994140625
1998-05-04,1878.8599853515625
1998-05-05,1864.9100341796875
1998-05-06,1856.6800537109375
1998-05-07,1835.1400146484375
1998-05-08,1864.3699951171875
1998-05-11,1848.0699462890625
1998-05-12,1860.1600341796875
1998-05-13,1866.1800537109375
1998-05-14,1865.3599853515625
1998-05-15,1846.77001953125
1998-05-18,1831.6199951171875
1998-05-19,1845.8699951171875
1998-05-20,1831.75
1998-05-21,1820.989990234375
1998-05-22,1805.0
1998-05-26,1778.0899658203125
1998-05-27,1781.0999755859375
1998-05-28,1794.6199951171875
1998-05-29,1778.8699951171875
1998-06-01,1746.8199462890625
1998-06-02,1761.7900390625
1998-06-03,1742.31005859375
1998-06-04,1769.949951171875
1998-06-05,1782.9200439453125
1998-06-08,1787.77001953125
1998-06-09,1800.760009765625
1998-06-10,1773.25
1998-06-11,1749.75
1998-06-12,1745.050048828125
1998-06-15,1715.75
1998-06-16,1753.1199951171875
1998-06-17,1776.4000244140625
1998-06-18,1772.699951171875
1998-06-19,1781.2900390625
1998-06-22,1805.8199462890625
1998-06-23,1844.5699462890625
1998-06-24,1877.760009765625
1998-06-25,1863.25
1998-06-26,1869.530029296875
1998-06-29,1891.0799560546875
1998-06-30,1894.739990234375
1998-07-01,1914.4599609375
1998-07-02,1894.0
1998-07-06,1909.469970703125
1998-07-07,1908.1099853515625
1998-07-08,1935.3900146484375
1998-07-09,1939.8199462890625
1998-07-10,1943.0400390625
1998-07-13,1965.530029296875
1998-07-14,1968.4100341796875
1998-07-15,1994.5400390625
1998-07-16,2000.56005859375
1998-07-17,2008.760009765625
1998-07-20,2014.25
1998-07-21,1979.1400146484375
1998-07-22,1969.75
1998-07-23,1935.219970703125
