Date,^IXIC,CSCO,INTC,AMZN,GE,WMT,^GSPC
1998-01-02,1581.530029296875,6.295074462890625,10.279914855957031,0.24791699647903442,62.3482551574707,4.157597541809082,975.0399780273438
1998-01-05,1594.1199951171875,6.281521797180176,10.545316696166992,0.23749999701976776,63.45413589477539,4.197194576263428,977.0700073242188
1998-01-06,1580.1400146484375,6.200210094451904,10.350687026977539,0.24192699790000916,62.6115837097168,4.223591327667236,966.5800170898438
1998-01-07,1561.699951171875,6.017252445220947,10.297609329223633,0.23906299471855164,63.13817596435547,4.210391998291016,964.0
1998-01-08,1555.5400390625,6.085014820098877,10.518776893615723,0.23072899878025055,62.55894088745117,4.150999546051025,956.0499877929688
1998-01-09,1503.219970703125,5.881728172302246,10.173749923706055,0.21302099525928497,61.031829833984375,4.032208442687988,927.6900024414062
1998-01-12,1507.5799560546875,6.037581920623779,10.704559326171875,0.21510399878025055,62.71693420410156,4.17079496383667,939.2100219726562
1998-01-13,1541.6300048828125,6.071461200714111,10.890338897705078,0.23229199647903442,62.92755126953125,4.17079496383667,952.1199951171875
1998-01-14,1548.760009765625,6.179879665374756,10.678014755249023,0.24375000596046448,62.664268493652344,4.190596580505371,957.9400024414062
1998-01-15,1547.06005859375,6.2273125648498535,10.660327911376953,0.24765600264072418,61.24246597290039,4.21699333190918,950.72998046875
1998-01-16,1562.8800048828125,6.274749279022217,10.589550018310547,0.23958300054073334,61.821720123291016,4.236789226531982,961.510009765625
1998-01-20,1590.1400146484375,6.450929641723633,10.7930326461792,0.24765600264072418,63.664764404296875,4.408374786376953,978.5999755859375
1998-01-21,1587.9200439453125,6.437375545501709,10.854954719543457,0.25364598631858826,63.664764404296875,4.296184539794922,970.8099975585938
1998-01-22,1576.510009765625,6.261194229125977,10.828413009643555,0.2567709982395172,63.34883117675781,4.223591327667236,963.0399780273438
1998-01-23,1575.9300537109375,6.254419326782227,10.925726890563965,0.24687500298023224,62.400962829589844,4.17079496383667,957.5900268554688
1998-01-26,1561.4599609375,6.139222145080566,10.996502876281738,0.24062499403953552,62.92755126953125,4.085006237030029,956.9500122070312
1998-01-27,1578.9000244140625,6.42382287979126,11.208823204040527,0.23749999701976776,64.24402618408203,4.150999546051025,969.02001953125
1998-01-28,1610.8199462890625,6.708423137664795,11.452022552490234,0.23854200541973114,64.24402618408203,4.289587020874023,977.4600219726562
1998-01-29,1619.489990234375,6.911706447601318,11.611324310302734,0.24791699647903442,64.98124694824219,4.243389129638672,985.489990234375
1998-01-30,1619.3599853515625,6.837170600891113,11.469720840454102,0.24583299458026886,65.29721069335938,4.203794479370117,980.280029296875
1998-02-02,1652.8900146484375,6.932037830352783,11.761775970458984,0.25989601016044617,66.1924057006836,4.309381484985352,1001.27001953125
1998-02-03,1666.3399658203125,6.830394268035889,12.221981048583984,0.25755199790000916,65.34986114501953,4.4347710609436035,1006.0
1998-02-04,1680.43994140625,6.99979829788208,12.398979187011719,0.25312501192092896,64.77061462402344,4.54036283493042,1006.9000244140625
1998-02-05,1676.9000244140625,6.979470729827881,12.24853229522705,0.24687500298023224,64.61264038085938,4.520563125610352,1003.5399780273438
1998-02-06,1694.3499755859375,7.148873805999756,12.396770477294922,0.24531300365924835,65.4552001953125,4.546961307525635,1012.4600219726562
1998-02-09,1690.4300537109375,6.938811779022217,12.151180267333984,0.2427079975605011,64.92857360839844,4.487565994262695,1010.739990234375
1998-02-10,1709.0400390625,7.020127773284912,12.213129997253418,0.2651039958000183,65.29721069335938,4.553557872772217,1019.010009765625
1998-02-11,1708.550048828125,7.033681392669678,12.044983863830566,0.2645829916000366,66.08710479736328,4.533761978149414,1020.010009765625
1998-02-12,1714.3399658203125,7.074337005615234,12.036125183105469,0.26302099227905273,66.13972473144531,4.718542575836182,1024.1400146484375
1998-02-13,1710.4200439453125,7.033681392669678,11.8679780960083,0.2593750059604645,65.56050109863281,4.6657490730285645,1020.0900268554688
1998-02-17,1703.4300537109375,7.040455341339111,11.983025550842285,0.2572920024394989,65.77114868164062,4.725142002105713,1022.760009765625
1998-02-18,1715.72998046875,7.101438999176025,12.310478210449219,0.25364598631858826,66.08710479736328,4.804336071014404,1032.0799560546875
1998-02-19,1727.010009765625,7.094667911529541,12.823781967163086,0.26145800948143005,65.56050109863281,4.7779388427734375,1028.280029296875
1998-02-20,1728.1300048828125,7.135324954986572,13.0007963180542,0.2635419964790344,65.87644958496094,4.7911376953125,1034.2099609375
1998-02-23,1751.760009765625,7.114992618560791,13.337093353271484,0.27031299471855164,65.4552001953125,4.876926898956299,1038.1400146484375
1998-02-24,1738.7099609375,7.020127773284912,13.08044719696045,0.27031299471855164,64.66532135009766,4.949522495269775,1030.56005859375
1998-02-25,1766.47998046875,7.236965656280518,13.31054973602295,0.2744790017604828,64.98124694824219,5.035314083099365,1042.9000244140625
1998-02-26,1777.1099853515625,7.2098612785339355,13.071587562561035,0.3031249940395355,64.87593841552734,4.989116191864014,1048.6700439453125
1998-02-27,1770.510009765625,7.142099857330322,12.69989013671875,0.3208329975605011,65.5078353881836,4.890127182006836,1049.3399658203125
1998-03-02,1758.5400390625,7.074337005615234,12.407832145690918,0.31770798563957214,64.50730895996094,4.949522495269775,1047.699951171875
1998-03-03,1757.1400146484375,6.993023872375488,12.0803804397583,0.2989580035209656,65.08655548095703,5.114506721496582,1052.02001953125
1998-03-04,1759.699951171875,7.074337005615234,12.2396821975708,0.3059900104999542,64.29670715332031,5.114506721496582,1047.3299560546875
1998-03-05,1711.9200439453125,6.708423137664795,10.699760437011719,0.3125,64.60330963134766,5.160702228546143,1035.050048828125
1998-03-06,1753.489990234375,6.979470729827881,11.062614440917969,0.3197920024394989,66.18929290771484,5.299288272857666,1055.68994140625
1998-03-09,1725.1600341796875,6.637274742126465,10.628954887390137,0.34791699051856995,66.40080261230469,5.4180779457092285,1052.31005859375
1998-03-10,1748.510009765625,6.654214859008789,10.690912246704102,0.3462890088558197,66.61225128173828,5.3850789070129395,1064.25
1998-03-11,1756.8499755859375,6.789735794067383,10.744012832641602,0.33177098631858826,66.8237075805664,5.378481388092041,1068.469970703125
1998-03-12,1764.06005859375,6.932037830352783,10.814810752868652,0.3270829916000366,66.9823226928711,5.4180779457092285,1069.9200439453125
1998-03-13,1771.6600341796875,6.99979829788208,10.850217819213867,0.32786500453948975,66.24221801757812,5.4246745109558105,1068.6099853515625
1998-03-16,1788.1800537109375,6.979470729827881,11.000673294067383,0.3291670083999634,67.14093780517578,5.437874794006348,1079.27001953125
1998-03-17,1779.300048828125,6.99979829788208,10.867912292480469,0.33281299471855164,67.66959381103516,5.431276321411133,1080.449951171875
1998-03-18,1788.280029296875,6.891378879547119,10.903316497802734,0.3554689884185791,67.40525817871094,5.366819858551025,1085.52001953125
1998-03-19,1799.97998046875,6.972692966461182,10.947569847106934,0.3499999940395355,67.72244262695312,5.3271636962890625,1089.739990234375
1998-03-20,1789.1600341796875,6.898156642913818,10.726312637329102,0.3499999940395355,69.04415893554688,5.294116973876953,1099.1600341796875
1998-03-23,1792.510009765625,7.020127773284912,10.628954887390137,0.3492189943790436,68.03962707519531,5.254457950592041,1095.550048828125
1998-03-24,1812.43994140625,7.352162837982178,10.5404634475708,0.3510420024394989,69.89002990722656,5.340382099151611,1105.6500244140625
1998-03-25,1824.510009765625,7.541891574859619,10.770565032958984,0.3403649926185608,69.36128997802734,5.247851371765137,1101.9300537109375
1998-03-26,1828.5400390625,7.521566867828369,11.071470260620117,0.3447920083999634,69.73140716552734,5.261069297790527,1100.800048828125
1998-03-27,1823.6199951171875,7.521566867828369,11.168817520141602,0.35416701436042786,70.63016510009766,5.280895709991455,1095.43994140625
1998-03-30,1818.699951171875,7.311503887176514,10.956422805786133,0.3578130006790161,72.16327667236328,5.333773136138916,1093.5999755859375
1998-03-31,1835.6800537109375,7.41314697265625,11.0537691116333,0.35637998580932617,72.90342712402344,5.373429298400879,1101.75
1998-04-01,1847.6600341796875,7.51478910446167,10.97411823272705,0.3755210041999817,73.1148910522461,5.446132183074951,1108.1500244140625
1998-04-02,1852.9599609375,7.616431713104248,10.814810752868652,0.3960939943790436,74.22505950927734,5.373429298400879,1120.010009765625
1998-04-03,1855.4000244140625,7.663867473602295,10.867912292480469,0.38749998807907104,73.90788269042969,5.446132183074951,1122.699951171875
1998-04-06,1829.1400146484375,7.480910301208496,10.460811614990234,0.36927101016044617,73.43206787109375,5.247851371765137,1121.3800048828125
1998-04-07,1798.7099609375,7.480910301208496,10.28381061553955,0.3583329916000366,73.69641876220703,5.366819858551025,1109.550048828125
