Date,AMZN
1998-01-02,0.24791699647903442
1998-01-05,0.23749999701976776
1998-01-06,0.24192699790000916
1998-01-07,0.23906299471855164
1998-01-08,0.23072899878025055
1998-01-09,0.21302099525928497
1998-01-12,0.21510399878025055
1998-01-13,0.23229199647903442
1998-01-14,0.24375000596046448
1998-01-15,0.24765600264072418
1998-01-16,0.23958300054073334
1998-01-20,0.24765600264072418
1998-01-21,0.25364598631858826
1998-01-22,0.2567709982395172
1998-01-23,0.24687500298023224
1998-01-26,0.24062499403953552
1998-01-27,0.23749999701976776
1998-01-28,0.23854200541973114
1998-01-29,0.24791699647903442
1998-01-30,0.24583299458026886
1998-02-02,0.25989601016044617
1998-02-03,0.25755199790000916
1998-02-04,0.25312501192092896
1998-02-05,0.24687500298023224
1998-02-06,0.24531300365924835
1998-02-09,0.2427079975605011
1998-02-10,0.2651039958000183
1998-02-11,0.2645829916000366
1998-02-12,0.26302099227905273
1998-02-13,0.2593750059604645
1998-02-17,0.2572920024394989
1998-02-18,0.25364598631858826
1998-02-19,0.26145800948143005
1998-02-20,0.2635419964790344
1998-02-23,0.27031299471855164
1998-02-24,0.27031299471855164
1998-02-25,0.2744790017604828
1998-02-26,0.3031249940395355
1998-02-27,0.3208329975605011
1998-03-02,0.31770798563957214
1998-03-03,0.2989580035209656
1998-03-04,0.3059900104999542
1998-03-05,0.3125
1998-03-06,0.3197920024394989
1998-03-09,0.34791699051856995
1998-03-10,0.3462890088558197
1998-03-11,0.33177098631858826
1998-03-12,0.3270829916000366
1998-03-13,0.32786500453948975
1998-03-16,0.3291670083999634
1998-03-17,0.33281299471855164
1998-03-18,0.3554689884185791
1998-03-19,0.3499999940395355
1998-03-20,0.3499999940395355
1998-03-23,0.3492189943790436
1998-03-24,0.3510420024394989
1998-03-25,0.3403649926185608
1998-03-26,0.3447920083999634
1998-03-27,0.35416701436042786
1998-03-30,0.3578130006790161
1998-03-31,0.35637998580932617
1998-04-01,0.3755210041999817
1998-04-02,0.3960939943790436
1998-04-03,0.38749998807907104
1998-04-06,0.36927101016044617
1998-04-07,0.3583329916000366
1998-04-08,0.36927101016044617
1998-04-09,0.3968749940395355
1998-04-13,0.392969012260437
1998-04-14,0.40494799613952637
1998-04-15,0.40052101016044617
1998-04-16,0.41041699051856995
1998-04-17,0.39531299471855164
1998-04-20,0.3927080035209656
1998-04-21,0.3877600133419037
1998-04-22,0.36354199051856995
