Price,Close,High,Low,Open,Volume
Ticker,WMT,WMT,WMT,WMT,WMT
Date,,,,,
1998-01-02,4.157597541809082,4.190594146299936,4.098203291211809,4.164197104383077,10029000
1998-01-05,4.197194576263428,4.210393099949455,4.118002225767891,4.203794140201285,13686000
1998-01-06,4.223591327667236,4.230190286008996,4.131199868987027,4.131199868987027,20187000
1998-01-07,4.210391998291016,4.230190080734688,4.157597313171067,4.19719347805841,15806400
1998-01-08,4.150999546051025,4.243391040202353,4.124602494170466,4.223592949197038,14599200
1998-01-09,4.032208442687988,4.164196035139991,4.01900992511855,4.157596474260569,18346200
1998-01-12,4.17079496383667,4.197192602987777,3.966215224031144,3.966215224031144,26112000
1998-01-13,4.17079496383667,4.197192602987777,4.07180457225677,4.19059304215265,16555200
1998-01-14,4.190596580505371,4.2037957133203845,4.131202295407547,4.190596580505371,19523400
1998-01-15,4.21699333190918,4.21699333190918,4.137800968868631,4.197195241149043,13317600
1998-01-16,4.236789226531982,4.269785825965181,4.223590707596596,4.24338878809441,22188600
1998-01-20,4.408374786376953,4.428172877639409,4.177397256378231,4.177397256378231,23048400
1998-01-21,4.296184539794922,4.362178359314272,4.223591761256371,4.335780710668608,18490200
1998-01-22,4.223591327667236,4.263187494476025,4.157597514922737,4.2367898485403135,17223600
1998-01-23,4.17079496383667,4.243388320454865,4.091602650572749,4.2367887596197376,14755200
1998-01-26,4.085006237030029,4.19059565098989,4.0256119651064415,4.164198599594814,13105800
1998-01-27,4.150999546051025,4.230191910072284,4.104804403165151,4.118002929105431,17550000
1998-01-28,4.289587020874023,4.289587020874023,4.170798451641913,4.170798451641913,18174000
1998-01-29,4.243389129638672,4.381975704277996,4.230190005451439,4.289584251725435,15057600
1998-01-30,4.203794479370117,4.296185361005925,4.197194914899797,4.249989618093154,11774400
1998-02-02,4.309381484985352,4.33577912397068,4.243388293806127,4.322580606572715,17711400
1998-02-03,4.4347710609436035,4.4743672311306,4.276386380195618,4.289584902194747,26511600
1998-02-04,4.54036283493042,4.579959020687982,4.401776184778952,4.414974711968191,24554400
1998-02-05,4.520563125610352,4.632752077077509,4.474367390681697,4.593155905478556,27098400
1998-02-06,4.546961307525635,4.560160437485505,4.5073651260255865,4.546961307525635,12664800
1998-02-09,4.487565994262695,4.56015937963263,4.474367471554363,4.56015937963263,13878000
1998-02-10,4.553557872772217,4.573355950479923,4.527160234432149,4.540359355696874,17338800
1998-02-11,4.533761978149414,4.560159629200408,4.520563454718753,4.560159629200408,8007600
1998-02-12,4.718542575836182,4.718542575836182,4.500763697015888,4.527160734079926,17340000
1998-02-13,4.6657490730285645,4.685547160473084,4.593156287128553,4.6459509855840455,13779600
1998-02-17,4.725142002105713,4.751539645979882,4.6987449624210536,4.6987449624210536,12028800
1998-02-18,4.804336071014404,4.8175351998306635,4.711945190249231,4.7449418039104225,14701800
1998-02-19,4.7779388427734375,4.804335891037631,4.711945013733542,4.804335891037631,13153200
1998-02-20,4.7911376953125,4.797737259925767,4.678948722025456,4.784538130699233,18285000
1998-02-23,4.876926898956299,4.876926898956299,4.797734584516897,4.857128820346449,18959400
1998-02-24,4.949522495269775,4.995718239955546,4.909926315307617,4.949522495269775,24959400
1998-02-25,5.035314083099365,5.061711131848568,5.008916430160446,5.028714518817206,16508400
1998-02-26,4.989116191864014,5.022112790678269,4.903324309919602,5.022112790678269,14541000
1998-02-27,4.890127182006836,4.982518047476819,4.870329096249723,4.982518047476819,15474600
1998-03-02,4.949522495269775,4.989118675231934,4.909926315307617,4.929724405288696,19246200
1998-03-03,5.114506721496582,5.114506721496582,4.923124784402899,4.942922874158125,18299400
1998-03-04,5.114506721496582,5.154102901007033,5.107907156848256,5.1409037717103825,16153800
1998-03-05,5.160702228546143,5.279490775526922,5.074910902964331,5.074910902964331,33376800
1998-03-06,5.299288272857666,5.31248740161409,5.259692094967846,5.286089748290968,23621400
1998-03-09,5.4180779457092285,5.510469449671139,5.312488518595408,5.312488518595408,23567400
1998-03-10,5.3850789070129395,5.517065933729475,5.36528082279598,5.503867412314696,23161200
1998-03-11,5.378481388092041,5.464273320363924,5.352084335231317,5.4180775715729395,19824000
1998-03-12,5.4180779457092285,5.457674131924375,5.3916808910257,5.404879418367464,14778600
1998-03-13,5.4246745109558105,5.457671113153926,5.371879826600922,5.4246745109558105,19732200
1998-03-16,5.437874794006348,5.451073922516488,5.371881568214504,5.444474358261418,13373400
1998-03-17,5.431276321411133,5.4906705924684,5.391680140706288,5.484071027621003,13158000
1998-03-18,5.366819858551025,5.465960623210879,5.320554571781231,5.465960623210879,14752200
1998-03-19,5.3271636962890625,5.366820003222002,5.280898408272115,5.360211022137993,13320600
1998-03-20,5.294116973876953,5.3469918480684475,5.241242099685458,5.333773280797379,28083600
1998-03-23,5.254457950592041,5.267676511029592,5.214801664172478,5.214801664172478,18558000
1998-03-24,5.340382099151611,5.346991079283302,5.23463176086608,5.23463176086608,14451000
1998-03-25,5.247851371765137,5.360211317674947,5.155320185522283,5.340383163115246,20487600
1998-03-26,5.261069297790527,5.3139441623804995,5.234631562941985,5.254459712801613,12433200
1998-03-27,5.280895709991455,5.3007238533267085,5.194973553836386,5.287504687698597,17535600
1998-03-30,5.333773136138916,5.333773136138916,5.274288677371567,5.274288677371567,10361400
1998-03-31,5.373429298400879,5.472570060363995,5.340382579448903,5.360210731841526,20433600
1998-04-01,5.446132183074951,5.446132183074951,5.353601009307824,5.373429161194149,17770200
1998-04-02,5.373429298400879,5.472570060363995,5.366819712567608,5.472570060363995,17494800
1998-04-03,5.446132183074951,5.465960334961276,5.393257313080475,5.406475879302301,16450800
1998-04-06,5.247851371765137,5.465961071921849,5.234632803761088,5.465961071921849,15831600
1998-04-07,5.366819858551025,5.426304317346937,5.28089826591729,5.313944985768172,23668200
1998-04-08,5.287509441375732,5.340384941211486,5.274290868970523,5.327165763698819,19746000
1998-04-09,5.373429298400879,5.419695189019396,5.333772993615632,5.406476017352854,17736000
1998-04-13,5.413088798522949,5.4395265523550025,5.353604306231488,5.360213895966388,15231000
1998-04-14,5.631197452545166,5.677463361017378,5.439525440487301,5.446134423763743,25459200
1998-04-15,5.697290420532227,5.697290420532227,5.571711896140967,5.644414933889956,18723600
1998-04-16,5.558493614196777,5.70389969720672,5.532055869509816,5.70389969720672,16404000
1998-04-17,5.631197452545166,5.631197452545166,5.525447063940435,5.584931544072955,17256000
1998-04-20,5.52544641494751,5.6311967911313,5.518837432447328,5.6311967911313,11393400
1998-04-21,5.532052516937256,5.565099223938261,5.452739936049267,5.525442933494266,17889600
1998-04-22,5.532052516937256,5.551880662159253,5.49900580993625,5.505614788272269,9652200
1998-04-23,5.432913303375244,5.518835491627354,5.399866587173881,5.472569604859735,13340400
1998-04-24,5.3139472007751465,5.452744329153601,5.267681289613175,5.4263065791885525,14934600
1998-04-27,5.241243839263916,5.3139468910459,5.188368342415724,5.2148060908398195,16653600
1998-04-28,5.194976806640625,5.307336154191236,5.181758237842698,5.287507998440699,15652200
1998-04-29,5.214804172515869,5.247850892058817,5.095835256032617,5.2081945865643995,18975600
1998-04-30,5.346991062164307,5.380038383145495,5.24124132932448,5.26106947987034,18028800
1998-05-01,5.353602409362793,5.41969646797095,5.307336507826349,5.41969646797095,13551600
1998-05-04,5.380037784576416,5.446131208971141,5.353600051754286,5.366818615611819,12335400
1998-05-05,5.340382099151611,5.406475531111325,5.32716292867396,5.406475531111325,10809000
1998-05-06,5.280895709991455,5.380036426667721,5.261067566656202,5.340380139997214,15008400
1998-05-07,5.353602409362793,5.366820979041491,5.261071211397238,5.307336507826349,17734200
1998-05-08,5.340382099151611,5.366819229892643,5.313944363303444,5.353600664522127,10695000
1998-05-11,5.406475067138672,5.419694236481881,5.3469906204154825,5.360209789758691,13294800
1998-05-12,5.578319549560547,5.591538114085333,5.492397367381693,5.499006952197634,35479800
1998-05-13,5.723723888397217,5.7303334712659195,5.571708323272399,5.591536466771589,24940200
1998-05-14,5.7303361892700195,5.7898206479821654,5.697289469465674,5.7105080363659715,13675200
1998-05-15,5.717116355895996,5.789819365403038,5.697288207384342,5.73694450440765,17712000
1998-05-18,5.75016450881958,5.783211229581653,5.684070462188212,5.730336355340892,14504400
1998-05-19,5.743556022644043,5.783212337196493,5.697290725737744,5.7567751975664185,9554400
1998-05-20,5.803037643432617,5.803037643432617,5.730334637507989,5.776600516791139,13036800
1998-05-21,5.895571708679199,5.948446587756834,5.816259087509108,5.816259087509108,16969800
1998-05-22,5.86913537979126,5.948448020058709,5.809650899590673,5.922010271600418,8646000
1998-05-26,5.684070110321045,5.961664241838469,5.684070110321045,5.961664241838469,11447400
1998-05-27,5.75016450881958,5.816258555450949,5.551882974032698,5.631195587947452,18057000
1998-05-28,5.862522602081299,5.862522602081299,5.73694472671276,5.803038154241329,12177000
1998-05-29,5.8294782638549805,5.955056795504417,5.822868676365849,5.935228638144366,17366400
1998-06-01,5.974884510040283,5.974884510040283,5.862524556589243,5.88896229947901,19423800
1998-06-02,6.021149158477783,6.074024638591101,5.994712023528355,6.021149158477782,17793600
1998-06-03,5.9220099449157715,6.074026233780765,5.875744644050243,6.054198074807713,15264000
1998-06-04,5.988102436065674,6.040977311061415,5.855914946022705,5.922008388490573,18750600
1998-06-05,6.113677501678467,6.153333786867501,6.001317623571608,6.054193073894915,20293200
1998-06-08,6.133507251739502,6.15333539953057,6.074022808366296,6.120288083140756,12874200
1998-06-09,6.140120983123779,6.2458713882248,6.080636493712114,6.120292819986558,18476400
1998-06-10,6.265697479248047,6.3185723617586715,6.087244070028957,6.113681813837927,18021000
1998-06-11,6.239257335662842,6.305351367210174,6.113679462362121,6.2855232182566825,16806600
1998-06-12,6.219429969787598,6.278914424137661,6.166555100956595,6.166555100956595,15514200
1998-06-15,5.981494426727295,6.219432334598534,5.981494426727295,6.0938543977380855,20116800
1998-06-16,6.067416191101074,6.093853936119867,5.948447246177524,6.074025778632609,19147200
1998-06-17,6.1881866455078125,6.2609892476674744,6.035964069418321,6.035964069418321,19047000
1998-06-18,6.141857147216797,6.208040546552142,6.115383423924169,6.148475123591842,13267200
1998-06-19,6.12862491607666,6.227900700926343,6.102151777404281,6.141862091344153,25377600
1998-06-22,6.069055080413818,6.161712816923314,6.062437103470903,6.115383948668566,12229200
1998-06-23,6.267603874206543,6.267603874206543,6.1021448252515365,6.128617933763194,17763600
1998-06-24,6.366884708404541,6.386739858852717,6.168333203922788,6.267608956163665,20194800
1998-06-25,6.353648662567139,6.4463058369191915,6.280846640285608,6.386740380707624,16466400
1998-06-26,6.320556640625,6.446305527073337,6.313938054942568,6.320556640625001,10877400
1998-06-29,6.572052478790283,6.651473052552099,6.353645900945288,6.380119627509524,20883000
1998-06-30,6.433068752288818,6.658093992926162,6.380121886345781,6.658093992926162,19049400
1998-07-01,6.406593322753906,6.5389613615163595,6.327172741868813,6.519106216295086,19717200
1998-07-02,6.426448822021484,6.479396282815829,6.380120551240157,6.479396282815829,10414200
1998-07-06,6.486013889312744,6.492632473015531,6.380120185653813,6.419830476008648,17973000
1998-07-07,6.472776889801025,6.5521974651360075,6.466158306546143,6.505868594213633,14456400
1998-07-08,6.651474952697754,6.651474952697754,6.51248890891004,6.51248890891004,16559400
1998-07-09,6.684568881988525,6.72427919337842,6.578675122236316,6.651477157807368,17529000
1998-07-10,6.797080993652344,6.797080993652344,6.671331487837081,6.711041794312303,23134200
1998-07-13,6.783837795257568,6.830166646971663,6.737509549474125,6.830166646971663,14870400
1998-07-14,7.028722763061523,7.055196497102806,6.803697538538277,6.823552687586473,16297200
1998-07-15,6.975774765014648,7.094905639905234,6.969156181099295,7.0485767643596855,15085200
1998-07-16,7.280220031738281,7.286838615745922,6.955919716190401,6.9890114243666615,19632000
1998-07-17,7.306694030761719,7.3794960338013675,7.2603651528650355,7.306694030761719,20200800
1998-07-20,7.286836624145508,7.3133103470094385,7.214034643683205,7.306691764810754,11307600
1998-07-21,7.200800895690918,7.293458666710561,7.114762315941228,7.286840081371702,14935200
1998-07-22,7.101521968841553,7.286836822060729,7.022101404023452,7.220652816068704,19532400
1998-07-23,6.724274635314941,7.101522337800805,6.724274635314941,7.0419569110925115,18966000
1998-07-24,6.757369041442871,6.823552465495364,6.598527854227219,6.724276723485582,23629200
1998-07-27,6.763986110687256,6.770604694574874,6.6250000905640185,6.724275819223474,17502600
1998-07-28,6.717656135559082,6.777221557630254,6.565432986312216,6.6713272719712355,19576800
