Date,INTC
1998-01-02,10.279914855957031
1998-01-05,10.545316696166992
1998-01-06,10.350687026977539
1998-01-07,10.297609329223633
1998-01-08,10.518776893615723
1998-01-09,10.173749923706055
1998-01-12,10.704559326171875
1998-01-13,10.890338897705078
1998-01-14,10.678014755249023
1998-01-15,10.660327911376953
1998-01-16,10.589550018310547
1998-01-20,10.7930326461792
1998-01-21,10.854954719543457
1998-01-22,10.828413009643555
1998-01-23,10.925726890563965
1998-01-26,10.996502876281738
1998-01-27,11.208823204040527
1998-01-28,11.452022552490234
1998-01-29,11.611324310302734
1998-01-30,11.469720840454102
1998-02-02,11.761775970458984
1998-02-03,12.221981048583984
1998-02-04,12.398979187011719
1998-02-05,12.24853229522705
1998-02-06,12.396770477294922
1998-02-09,12.151180267333984
1998-02-10,12.213129997253418
1998-02-11,12.044983863830566
1998-02-12,12.036125183105469
1998-02-13,11.8679780960083
1998-02-17,11.983025550842285
1998-02-18,12.310478210449219
1998-02-19,12.823781967163086
1998-02-20,13.0007963180542
1998-02-23,13.337093353271484
1998-02-24,13.08044719696045
1998-02-25,13.31054973602295
1998-02-26,13.071587562561035
1998-02-27,12.69989013671875
1998-03-02,12.407832145690918
1998-03-03,12.0803804397583
1998-03-04,12.2396821975708
1998-03-05,10.699760437011719
1998-03-06,11.062614440917969
1998-03-09,10.628954887390137
1998-03-10,10.690912246704102
1998-03-11,10.744012832641602
1998-03-12,10.814810752868652
1998-03-13,10.850217819213867
1998-03-16,11.000673294067383
1998-03-17,10.867912292480469
1998-03-18,10.903316497802734
1998-03-19,10.947569847106934
1998-03-20,10.726312637329102
1998-03-23,10.628954887390137
1998-03-24,10.5404634475708
1998-03-25,10.770565032958984
1998-03-26,11.071470260620117
1998-03-27,11.168817520141602
1998-03-30,10.956422805786133
1998-03-31,11.0537691116333
1998-04-01,10.97411823272705
1998-04-02,10.814810752868652
1998-04-03,10.867912292480469
1998-04-06,10.460811614990234
1998-04-07,10.28381061553955
1998-04-08,10.274958610534668
1998-04-09,10.443106651306152
1998-04-13,10.797123908996582
1998-04-14,10.761717796325684
1998-04-15,10.602413177490234
1998-04-16,10.531615257263184
1998-04-17,10.646665573120117
1998-04-20,10.832518577575684
1998-04-21,11.177669525146484
1998-04-22,11.903379440307617
1998-04-23,11.788320541381836
1998-04-24,11.620177268981934
1998-04-27,11.328123092651367
1998-04-28,11.230766296386719
1998-04-29,11.350114822387695
1998-04-30,11.447503089904785
1998-05-01,11.633427619934082
1998-05-04,11.615715026855469
1998-05-05,11.598014831542969
1998-05-06,11.527181625366211
1998-05-07,11.474066734313965
1998-05-08,11.907879829406738
1998-05-11,11.686546325683594
1998-05-12,11.978704452514648
1998-05-13,12.014120101928711
1998-05-14,11.978704452514648
1998-05-15,11.37667179107666
1998-05-18,11.24387264251709
1998-05-19,11.270435333251953
1998-05-20,10.907440185546875
1998-05-21,10.500184059143066
1998-05-22,10.526744842529297
1998-05-26,10.579863548278809
1998-05-27,10.526744842529297
1998-05-28,10.411646842956543
1998-05-29,10.119483947753906
1998-06-01,9.632546424865723
1998-06-02,9.80961799621582
1998-06-03,9.340385437011719
1998-06-04,9.659104347229004
1998-06-05,9.889296531677246
1998-06-08,9.81847095489502
1998-06-09,9.942413330078125
1998-06-10,9.712228775024414
1998-06-11,9.712228775024414
1998-06-12,9.6945161819458
1998-06-15,9.473180770874023
1998-06-16,9.889296531677246
1998-06-17,9.80961799621582
1998-06-18,9.871585845947266
1998-06-19,9.915854454040527
1998-06-22,10.464771270751953
1998-06-23,10.6595458984375
1998-06-24,10.960564613342285
1998-06-25,10.712665557861328
1998-06-26,10.818907737731934
1998-06-29,10.739224433898926
1998-06-30,10.500184059143066
1998-07-01,10.65069580078125
1998-07-02,10.376236915588379
1998-07-06,10.409432411193848
1998-07-07,10.641839981079102
1998-07-08,11.09337043762207
1998-07-09,11.2969970703125
1998-07-10,11.2969970703125
1998-07-13,11.668835639953613
1998-07-14,11.42979621887207
1998-07-15,11.934438705444336
1998-07-16,11.934438705444336
1998-07-17,11.775076866149902
1998-07-20,11.580304145812988
1998-07-21,11.562599182128906
1998-07-22,11.668835639953613
1998-07-23,11.69540023803711
1998-07-24,11.766225814819336
1998-07-27,12.191190719604492
1998-07-28,12.129216194152832
1998-07-29,11.98755931854248
1998-07-30,12.412525177001953
1998-07-31,11.960999488830566
1998-08-03,12.014120101928711
1998-08-04,11.60686206817627
1998-08-05,11.921093940734863
1998-08-06,12.328505516052246
1998-08-07,12.284220695495605
1998-08-10,12.275367736816406
1998-08-11,11.983097076416016
1998-08-12,12.133659362792969
1998-08-13,12.080520629882812
1998-08-14,12.21336841583252
1998-08-17,12.691629409790039
1998-08-18,12.95733642578125
1998-08-19,12.691629409790039
1998-08-20,12.18679428100586
1998-08-21,12.036239624023438
1998-08-24,11.991954803466797
1998-08-25,11.963168144226074
1998-08-26,11.761678695678711
1998-08-27,11.301131248474121
1998-08-28,10.9114351272583
1998-08-31,10.087764739990234
1998-09-01,10.769728660583496
1998-09-02,10.610309600830078
1998-09-03,10.87601089477539
1998-09-04,11.088569641113281
1998-09-08,11.606695175170898
1998-09-09,11.513689994812012
1998-09-10,11.203706741333008
1998-09-11,12.036239624023438
1998-09-14,12.16022777557373
1998-09-15,12.17794132232666
1998-09-16,12.053946495056152
1998-09-17,11.761678695678711
1998-09-18,11.761678695678711
1998-09-21,11.991954803466797
1998-09-22,11.841391563415527
1998-09-23,12.337362289428711
1998-09-24,12.089380264282227
1998-09-25,12.514496803283691
1998-09-28,12.328505516052246
1998-09-29,12.54106616973877
1998-09-30,12.15137767791748
1998-10-01,11.823675155639648
1998-10-02,11.885673522949219
1998-10-05,11.416269302368164
1998-10-06,11.283421516418457
1998-10-07,11.203706741333008
1998-10-08,11.115140914916992
1998-10-09,11.876818656921387
1998-10-12,12.107090950012207
1998-10-13,11.841391563415527
1998-10-14,11.699681282043457
1998-10-15,11.983097076416016
1998-10-16,11.867958068847656
1998-10-19,12.04509449005127
1998-10-20,11.983097076416016
1998-10-21,12.337362289428711
1998-10-22,12.381650924682617
1998-10-23,12.363933563232422
1998-10-26,12.60306167602539
1998-10-27,12.372790336608887
1998-10-28,12.64292049407959
1998-10-29,12.718205451965332
1998-10-30,12.638484954833984
1998-11-02,13.010478019714355
1998-11-03,12.815622329711914
1998-11-04,13.441539764404297
1998-11-05,13.326349258422852
1998-11-06,13.530142784118652
1998-11-09,13.609883308410645
1998-11-10,13.831406593322754
1998-11-11,14.699748992919922
1998-11-12,14.557975769042969
1998-11-13,14.708608627319336
1998-11-16,15.15163516998291
1998-11-17,15.382011413574219
1998-11-18,15.576946258544922
1998-11-19,16.002248764038086
1998-11-20,15.887064933776855
1998-11-23,16.099716186523438
1998-11-24,15.656691551208496
1998-11-25,15.55922794342041
1998-11-27,15.594667434692383
1998-11-30,15.257957458496094
1998-12-01,16.303512573242188
1998-12-02,16.099716186523438
1998-12-03,15.523783683776855
1998-12-04,16.489582061767578
1998-12-07,16.861736297607422
1998-12-08,17.02121925354004
1998-12-09,16.89717674255371
1998-12-10,16.250349044799805
1998-12-11,16.507312774658203
1998-12-14,15.816178321838379
1998-12-15,16.436418533325195
1998-12-16,16.179466247558594
1998-12-17,16.5693302154541
1998-12-18,17.012365341186523
1998-12-21,17.393375396728516
1998-12-22,16.879451751708984
1998-12-23,17.72120475769043
1998-12-24,17.72120475769043
1998-12-28,17.313613891601562
1998-12-29,17.162988662719727
1998-12-30,16.89717674255371
1998-12-31,16.80856704711914
1999-01-04,17.12755584716797
1999-01-05,17.473108291625977
1999-01-06,18.359172821044922
1999-01-07,18.323734283447266
1999-01-08,18.385751724243164
1999-01-11,19.81231117248535
1999-01-12,19.218656539916992
1999-01-13,19.705978393554688
1999-01-14,18.961706161499023
1999-01-15,19.19207000732422
1999-01-19,19.759143829345703
1999-01-20,19.599660873413086
1999-01-21,18.926250457763672
1999-01-22,18.270559310913086
1999-01-25,18.518667221069336
1999-01-26,19.41358184814453
1999-01-27,18.819921493530273
1999-01-28,19.44902229309082
1999-01-29,19.980663299560547
1999-02-01,19.546491622924805
1999-02-02,19.085737228393555
1999-02-03,19.67045021057129
1999-02-04,18.456005096435547
1999-02-05,18.09256362915039
1999-02-08,18.721939086914062
1999-02-09,17.77342987060547
1999-02-10,18.26984405517578
1999-02-11,18.899232864379883
1999-02-12,17.941864013671875
1999-02-16,17.92412757873535
1999-02-17,17.675920486450195
1999-02-18,18.172348022460938
1999-02-19,18.163476943969727
1999-02-22,18.837177276611328
1999-02-23,19.041061401367188
1999-02-24,18.49146270751953
1999-02-25,18.11914825439453
1999-02-26,17.011079788208008
1999-03-01,16.603313446044922
1999-03-02,15.575010299682617
1999-03-03,16.266456604003906
1999-03-04,16.08030128479004
1999-03-05,16.25759506225586
1999-03-08,16.966760635375977
1999-03-09,16.3550968170166
1999-03-10,16.57671546936035
1999-03-11,16.754003524780273
1999-03-12,16.77174949645996
1999-03-15,16.71855926513672
1999-03-16,17.0731258392334
1999-03-17,17.090866088867188
1999-03-18,17.277015686035156
1999-03-19,16.878114700317383
1999-03-22,16.328508377075195
1999-03-23,16.248733520507812
1999-03-24,16.91357421875
1999-03-25,16.7274169921875
1999-03-26,16.550127029418945
1999-03-29,17.241559982299805
1999-03-30,17.241559982299805
1999-03-31,16.860374450683594
1999-04-01,17.1440486907959
1999-04-05,18.08369255065918
1999-04-06,18.500320434570312
1999-04-07,18.739662170410156
1999-04-08,18.588972091674805
1999-04-09,18.553518295288086
1999-04-12,17.37452507019043
1999-04-13,17.16177749633789
1999-04-14,16.168956756591797
1999-04-15,16.57671546936035
1999-04-16,16.2398624420166
1999-04-19,15.743453025817871
1999-04-20,16.04484748840332
1999-04-21,16.57671546936035
1999-04-22,17.445444107055664
1999-04-23,17.516357421875
1999-04-26,18.278705596923828
1999-04-27,17.658201217651367
1999-04-28,17.35679817199707
1999-04-29,17.250423431396484
1999-04-30,17.35679817199707
1999-05-03,17.906396865844727
1999-05-04,17.49863624572754
1999-05-05,18.163440704345703
1999-05-06,16.93954849243164
1999-05-07,17.294296264648438
1999-05-10,17.20560646057129
1999-05-11,17.684524536132812
1999-05-12,17.73773193359375
1999-05-13,17.04596710205078
1999-05-14,16.460615158081055
1999-05-17,16.868581771850586
1999-05-18,16.72669219970703
1999-05-19,16.93954849243164
1999-05-20,16.37192726135254
1999-05-21,16.176822662353516
1999-05-24,15.875277519226074
1999-05-25,15.006119728088379
1999-05-26,14.669109344482422
1999-05-27,15.077071189880371
1999-05-28,15.34313678741455
1999-06-01,14.385313034057617
1999-06-02,14.740062713623047
1999-06-03,14.3320951461792
1999-06-04,15.094813346862793
1999-06-07,15.165763854980469
1999-06-08,14.669109344482422
1999-06-09,15.077071189880371
1999-06-10,15.715628623962402
1999-06-11,15.449576377868652
1999-06-14,15.431836128234863
1999-06-15,15.804327011108398
1999-06-16,16.93954849243164
1999-06-17,16.460615158081055
1999-06-18,15.591475486755371
1999-06-21,16.123607635498047
1999-06-22,15.804327011108398
1999-06-23,16.052650451660156
1999-06-24,15.626948356628418
1999-06-25,15.697896957397461
1999-06-28,16.176822662353516
1999-06-29,16.815378189086914
1999-06-30,16.886323928833008
1999-07-01,17.844161987304688
1999-07-02,18.021533966064453
1999-07-06,18.127967834472656
1999-07-07,18.26986312866211
1999-07-08,18.660104751586914
1999-07-09,18.8019962310791
1999-07-12,18.57140350341797
1999-07-13,18.553674697875977
1999-07-14,19.298656463623047
1999-07-15,19.209972381591797
1999-07-16,19.050325393676758
1999-07-19,19.174497604370117
1999-07-20,18.429508209228516
1999-07-21,18.606889724731445
1999-07-22,18.127967834472656
1999-07-23,18.216655731201172
1999-07-26,17.844161987304688
1999-07-27,19.174497604370117
1999-07-28,19.954959869384766
1999-07-29,19.724349975585938
1999-07-30,19.58246421813965
1999-08-02,20.238767623901367
1999-08-03,20.699939727783203
1999-08-04,20.6729736328125
1999-08-05,20.28257942199707
1999-08-06,20.318063735961914
1999-08-09,20.850418090820312
1999-08-10,20.37129783630371
1999-08-11,21.57796859741211
1999-08-12,21.560224533081055
1999-08-13,22.642669677734375
1999-08-16,22.305511474609375
1999-08-17,22.429719924926758
1999-08-18,22.287761688232422
1999-08-19,21.950607299804688
1999-08-20,22.695911407470703
1999-08-23,23.547670364379883
