,^IXIC,CSCO,INTC,AMZN,GE,WMT,^GSPC
count,1507.0,1507.0,1507.0,1507.0,1507.0,1507.0,1507.0
mean,2255.5202933996816,17.392493039784878,17.764139080807002,1.6494593366674026,97.00086461493095,10.477722615695743,1165.5255216865564
std,861.0406245530157,11.236006823778261,7.703352680804926,1.1719745524546887,24.69521017627639,2.2501287642662535,186.90838640241006
min,1114.1099853515625,5.594419002532959,7.557732105255127,0.2130209952592849,59.71930694580078,4.032208442687988,776.760009765625
25%,1686.510009765625,9.607951164245605,11.793993949890137,0.7227500081062317,76.73799514770508,9.767994403839111,1022.375
50%,1932.260009765625,12.392285346984863,16.57671546936035,1.1150000095367432,90.23445892333984,11.131531715393066,1142.6199951171875
75%,2634.0450439453125,21.29415798187256,19.646724700927734,2.592187523841858,116.3777847290039,11.994557857513428,1330.5900268554688
max,5048.6201171875,52.08175659179688,42.57032012939453,5.334374904632568,156.60165405273438,14.799087524414062,1527.4599609375
