Date,GE
1998-01-02,62.3482551574707
1998-01-05,63.45413589477539
1998-01-06,62.6115837097168
1998-01-07,63.13817596435547
1998-01-08,62.55894088745117
1998-01-09,61.031829833984375
1998-01-12,62.71693420410156
1998-01-13,62.92755126953125
1998-01-14,62.664268493652344
1998-01-15,61.24246597290039
1998-01-16,61.821720123291016
1998-01-20,63.664764404296875
1998-01-21,63.664764404296875
1998-01-22,63.34883117675781
1998-01-23,62.400962829589844
1998-01-26,62.92755126953125
1998-01-27,64.24402618408203
1998-01-28,64.24402618408203
1998-01-29,64.98124694824219
1998-01-30,65.29721069335938
1998-02-02,66.1924057006836
1998-02-03,65.34986114501953
1998-02-04,64.77061462402344
1998-02-05,64.61264038085938
1998-02-06,65.4552001953125
1998-02-09,64.92857360839844
1998-02-10,65.29721069335938
1998-02-11,66.08710479736328
1998-02-12,66.13972473144531
1998-02-13,65.56050109863281
1998-02-17,65.77114868164062
1998-02-18,66.08710479736328
1998-02-19,65.56050109863281
1998-02-20,65.87644958496094
1998-02-23,65.4552001953125
1998-02-24,64.66532135009766
1998-02-25,64.98124694824219
1998-02-26,64.87593841552734
1998-02-27,65.5078353881836
1998-03-02,64.50730895996094
1998-03-03,65.08655548095703
1998-03-04,64.29670715332031
1998-03-05,64.60330963134766
1998-03-06,66.18929290771484
1998-03-09,66.40080261230469
1998-03-10,66.61225128173828
1998-03-11,66.8237075805664
1998-03-12,66.9823226928711
1998-03-13,66.24221801757812
1998-03-16,67.14093780517578
1998-03-17,67.66959381103516
1998-03-18,67.40525817871094
1998-03-19,67.72244262695312
1998-03-20,69.04415893554688
1998-03-23,68.03962707519531
1998-03-24,69.89002990722656
1998-03-25,69.36128997802734
1998-03-26,69.73140716552734
1998-03-27,70.63016510009766
1998-03-30,72.16327667236328
1998-03-31,72.90342712402344
1998-04-01,73.1148910522461
1998-04-02,74.22505950927734
1998-04-03,73.90788269042969
1998-04-06,73.43206787109375
1998-04-07,73.69641876220703
1998-04-08,72.85053253173828
1998-04-09,73.1677474975586
1998-04-13,73.43206787109375
1998-04-14,73.27349090576172
1998-04-15,73.22059631347656
1998-04-16,72.4276123046875
1998-04-17,73.80213928222656
1998-04-20,72.85053253173828
1998-04-21,72.79766082763672
1998-04-22,72.05753326416016
1998-04-23,71.42314147949219
1998-04-24,70.94733428955078
1998-04-27,69.73140716552734
1998-04-28,68.6211929321289
1998-04-29,69.62568664550781
1998-04-30,72.05753326416016
1998-05-01,71.89895629882812
1998-05-04,71.37029266357422
1998-05-05,70.47154998779297
1998-05-06,70.26004028320312
1998-05-07,69.2555923461914
1998-05-08,70.36579132080078
1998-05-11,70.36579132080078
1998-05-12,70.57727813720703
1998-05-13,71.58174133300781
1998-05-14,71.15882873535156
1998-05-15,69.89002990722656
1998-05-18,69.78425598144531
1998-05-19,70.10145568847656
1998-05-20,72.48046112060547
1998-05-21,72.69194030761719
1998-05-22,71.89895629882812
1998-05-26,70.04859924316406
1998-05-27,70.84159088134766
1998-05-28,71.37029266357422
1998-05-29,70.52442169189453
1998-06-01,70.10145568847656
1998-06-02,69.9957275390625
1998-06-03,68.77981567382812
1998-06-04,70.57727813720703
1998-06-05,71.68748474121094
1998-06-08,71.42314147949219
1998-06-09,71.7403564453125
1998-06-10,72.11035919189453
1998-06-11,71.21168518066406
1998-06-12,72.11035919189453
1998-06-15,70.94733428955078
1998-06-16,72.11035919189453
1998-06-17,74.06647491455078
1998-06-18,74.38370513916016
1998-06-19,73.5906753540039
1998-06-22,72.85053253173828
1998-06-23,74.54229736328125
1998-06-24,75.96967315673828
1998-06-25,75.91682434082031
1998-06-26,76.18116760253906
1998-06-29,76.86844635009766
1998-06-30,76.86844635009766
1998-07-01,77.13274383544922
1998-07-02,76.9212646484375
1998-07-06,77.97152709960938
1998-07-07,78.60807037353516
1998-07-08,79.1915054321289
1998-07-09,79.88102722167969
1998-07-10,79.61580657958984
1998-07-13,79.40365600585938
1998-07-14,80.6766586303711
1998-07-15,79.8280029296875
1998-07-16,81.26014709472656
1998-07-17,82.05572509765625
1998-07-20,81.04795837402344
1998-07-21,78.87325286865234
1998-07-22,77.54723358154297
1998-07-23,76.3802719116211
1998-07-24,77.81245422363281
1998-07-27,78.07765197753906
1998-07-28,77.06979370117188
1998-07-29,75.95591735839844
1998-07-30,77.49413299560547
1998-07-31,75.90291595458984
1998-08-03,75.95591735839844
1998-08-04,72.50820922851562
1998-08-05,73.62212371826172
1998-08-06,75.37249755859375
1998-08-07,74.78902435302734
1998-08-10,74.5238265991211
1998-08-11,74.09945678710938
1998-08-12,75.84984588623047
1998-08-13,74.57687377929688
1998-08-14,74.20552825927734
1998-08-17,75.79682922363281
1998-08-18,77.01677703857422
1998-08-19,77.44109344482422
1998-08-20,76.75154113769531
1998-08-21,76.0620346069336
1998-08-24,76.16810607910156
1998-08-25,76.64546966552734
1998-08-26,76.75154113769531
1998-08-27,73.46295166015625
1998-08-28,72.87950134277344
1998-08-31,67.89356994628906
1998-09-01,70.17436218261719
1998-09-02,68.21182250976562
1998-09-03,65.98406982421875
1998-09-04,64.39281463623047
1998-09-08,69.48483276367188
1998-09-09,68.05268096923828
1998-09-10,65.40058898925781
1998-09-11,67.257080078125
1998-09-14,67.15097045898438
1998-09-15,66.24928283691406
1998-09-16,67.78750610351562
1998-09-17,66.40840148925781
1998-09-18,66.09014129638672
1998-09-21,67.257080078125
1998-09-22,67.78750610351562
1998-09-23,71.34133911132812
1998-09-24,69.37874603271484
1998-09-25,70.49264526367188
1998-09-28,71.17401885986328
1998-09-29,70.58846282958984
1998-09-30,67.76703643798828
1998-10-01,64.36006927490234
1998-10-02,64.20034790039062
1998-10-05,62.17745590209961
1998-10-06,62.816253662109375
1998-10-07,63.880958557128906
1998-10-08,60.95307540893555
1998-10-09,61.751590728759766
1998-10-12,63.08245086669922
1998-10-13,64.83916473388672
1998-10-14,66.11678314208984
1998-10-15,69.84317016601562
1998-10-16,71.38695526123047
1998-10-19,71.01433563232422
1998-10-20,70.0561294555664
1998-10-21,71.44022369384766
1998-10-22,73.67603302001953
1998-10-23,73.72926330566406
1998-10-26,73.14371490478516
1998-10-27,72.82426452636719
1998-10-28,72.34516906738281
1998-10-29,73.94221496582031
1998-10-30,74.52776336669922
1998-11-02,74.42131042480469
1998-11-03,75.3795166015625
1998-11-04,75.59246826171875
1998-11-05,77.34916687011719
1998-11-06,76.9765625
1998-11-09,75.59246826171875
1998-11-10,75.85862731933594
1998-11-11,74.2616195678711
1998-11-12,73.78248596191406
1998-11-13,75.11332702636719
1998-11-16,77.02978515625
1998-11-17,76.65715026855469
1998-11-18,78.14765930175781
1998-11-19,78.8397445678711
1998-11-20,78.94622039794922
1998-11-23,80.59648132324219
1998-11-24,80.27706909179688
1998-11-25,79.37206268310547
1998-11-27,78.62680053710938
1998-11-30,76.9765625
1998-12-01,77.61534118652344
1998-12-02,77.45563507080078
1998-12-03,75.00687408447266
1998-12-04,76.76362609863281
1998-12-07,77.34916687011719
1998-12-08,77.02978515625
1998-12-09,76.65715026855469
1998-12-10,75.32624816894531
1998-12-11,75.85862731933594
1998-12-14,73.94221496582031
1998-12-15,79.3188247680664
1998-12-16,78.36064147949219
1998-12-17,80.33027648925781
1998-12-18,82.51287841796875
1998-12-21,83.79051971435547
1998-12-22,84.37608337402344
1998-12-23,86.3457260131836
1998-12-24,85.97307586669922
1998-12-28,86.61190795898438
1998-12-29,88.24650573730469
1998-12-30,87.4452133178711
1998-12-31,87.17813873291016
1999-01-04,85.94951629638672
1999-01-05,87.7657699584961
1999-01-06,89.47512817382812
1999-01-07,87.97946166992188
1999-01-08,87.4986343383789
1999-01-11,85.20171356201172
1999-01-12,83.54573822021484
1999-01-13,82.53076934814453
1999-01-14,82.9581069946289
1999-01-15,86.1098403930664
1999-01-19,86.6973876953125
1999-01-20,85.7892837524414
1999-01-21,84.88115692138672
1999-01-22,83.6525650024414
1999-01-25,85.89613342285156
1999-01-26,87.17813873291016
1999-01-27,86.75077056884766
1999-01-28,88.4067611694336
1999-01-29,89.63539123535156
1999-02-01,87.33843231201172
1999-02-02,87.17813873291016
1999-02-03,87.92597961425781
1999-02-04,85.57560729980469
1999-02-05,83.75939178466797
1999-02-08,83.38546752929688
1999-02-09,82.05005645751953
1999-02-10,83.70597839355469
1999-02-11,85.46876525878906
1999-02-12,83.43888092041016
1999-02-16,84.61408233642578
1999-02-17,84.88115692138672
1999-02-18,86.0029296875
1999-02-19,85.7892837524414
1999-02-22,88.88750457763672
1999-02-23,88.0328598022461
1999-02-24,86.32344818115234
1999-02-25,85.7892837524414
1999-02-26,85.7358627319336
1999-03-01,86.27001190185547
1999-03-02,84.88115692138672
1999-03-03,84.40042877197266
1999-03-04,86.20164489746094
1999-03-05,88.9356460571289
1999-03-08,89.90058898925781
1999-03-09,90.91913604736328
1999-03-10,90.7046890258789
1999-03-11,91.83049011230469
1999-03-12,92.09851837158203
1999-03-15,94.45726776123047
1999-03-16,94.35005950927734
1999-03-17,93.00984191894531
1999-03-18,94.35005950927734
1999-03-19,96.06552124023438
1999-03-22,94.67169189453125
1999-03-23,91.40165710449219
1999-03-24,91.56245422363281
1999-03-25,93.0634994506836
1999-03-26,92.47374725341797
1999-03-29,96.06552124023438
1999-03-30,97.19129943847656
1999-03-31,94.88615417480469
1999-04-01,95.7438735961914
1999-04-05,98.31702423095703
1999-04-06,97.19129943847656
1999-04-07,98.20982360839844
1999-04-08,97.67373657226562
1999-04-09,96.22634887695312
1999-04-12,99.92530822753906
1999-04-13,100.30058288574219
1999-04-14,97.83458709716797
1999-04-15,96.49434661865234
1999-04-16,95.42222595214844
1999-04-19,89.84699249267578
1999-04-20,93.76036071777344
1999-04-21,97.40576171875
1999-04-22,97.13764953613281
1999-04-23,96.81603240966797
1999-04-26,97.35218048095703
1999-04-27,96.49434661865234
1999-04-28,95.63668823242188
1999-04-29,92.31301879882812
1999-04-30,90.3830795288086
1999-05-03,90.5975341796875
1999-05-04,90.0078125
1999-05-05,93.49237060546875
1999-05-06,92.84904479980469
1999-05-07,94.29643249511719
1999-05-10,93.27787780761719
1999-05-11,95.15419006347656
1999-05-12,94.51089477539062
1999-05-13,93.76036071777344
1999-05-14,90.86552429199219
1999-05-17,91.1336441040039
1999-05-18,89.41809844970703
1999-05-19,92.63462829589844
1999-05-20,91.29441833496094
1999-05-21,89.31089782714844
1999-05-24,88.77481842041016
1999-05-25,87.80984497070312
1999-05-26,88.45318603515625
1999-05-27,86.36244201660156
1999-05-28,87.22016906738281
1999-06-01,87.9707260131836
1999-06-02,87.54183959960938
1999-06-03,88.23873901367188
1999-06-04,89.9542007446289
1999-06-07,89.57894134521484
1999-06-08,87.80984497070312
1999-06-09,88.07793426513672
1999-06-10,86.63050842285156
1999-06-11,86.92536163330078
1999-06-14,88.98926544189453
1999-06-15,89.36450958251953
1999-06-16,91.61604309082031
1999-06-17,93.00984191894531
1999-06-18,92.2593765258789
1999-06-21,90.54393005371094
1999-06-22,90.81192779541016
1999-06-23,90.75831604003906
1999-06-24,91.56245422363281
1999-06-25,89.57894134521484
1999-06-28,91.07999420166016
1999-06-29,94.08203125
1999-06-30,96.92323303222656
1999-07-01,95.63668823242188
1999-07-02,96.65522766113281
1999-07-06,98.03180694580078
1999-07-07,101.47342681884766
1999-07-08,100.66683197021484
1999-07-09,100.77439880371094
1999-07-12,99.26863098144531
1999-07-13,99.43000793457031
1999-07-14,99.64506530761719
1999-07-15,101.15077209472656
1999-07-16,102.28009796142578
1999-07-19,103.2480239868164
1999-07-20,101.15077209472656
1999-07-21,100.61309051513672
1999-07-22,98.94602966308594
1999-07-23,99.10735321044922
1999-07-26,98.08563995361328
1999-07-27,100.0215072631836
1999-07-28,98.08563995361328
1999-07-29,96.36481475830078
1999-07-30,93.78363037109375
1999-08-02,92.815673828125
1999-08-03,92.815673828125
1999-08-04,91.84771728515625
1999-08-05,94.26763916015625
1999-08-06,92.06281280517578
1999-08-09,90.39579772949219
1999-08-10,90.23445892333984
1999-08-11,91.25619506835938
1999-08-12,90.39579772949219
1999-08-13,92.70813751220703
1999-08-16,94.48274230957031
1999-08-17,95.88078308105469
1999-08-18,96.09596252441406
1999-08-19,95.50442504882812
1999-08-20,97.0638427734375
1999-08-23,100.29035949707031
1999-08-24,100.34418487548828
1999-08-25,102.6565170288086
1999-08-26,102.33382415771484
1999-08-27,100.29035949707031
1999-08-30,98.30068969726562
1999-08-31,96.63369750976562
1999-09-01,97.81671905517578
1999-09-02,97.17143249511719
1999-09-03,100.15592956542969
1999-09-07,103.0866928100586
1999-09-08,104.00078582763672
1999-09-09,103.03294372558594
1999-09-10,102.54890441894531
1999-09-13,102.01122283935547
1999-09-14,100.45173645019531
1999-09-15,99.8063735961914
1999-09-16,100.88192749023438
1999-09-17,103.2480239868164
1999-09-20,104.96884155273438
1999-09-21,102.60271453857422
1999-09-22,102.38762664794922
1999-09-23,100.45173645019531
1999-09-24,101.52721405029297
1999-09-27,103.2480239868164
1999-09-28,102.1478271484375
1999-09-29,100.47595977783203
1999-09-30,102.30963897705078
1999-10-01,101.28485107421875
1999-10-04,103.60399627685547
1999-10-05,104.35900115966797
1999-10-06,106.73204040527344
1999-10-07,105.16795349121094
1999-10-08,107.64888763427734
1999-10-11,106.24665832519531
1999-10-12,104.73653411865234
1999-10-13,103.17254638671875
1999-10-14,103.65794372558594
1999-10-15,99.88261413574219
1999-10-18,101.50064086914062
1999-10-19,101.87808990478516
1999-10-20,104.95226287841797
1999-10-21,106.35454559326172
1999-10-22,108.40396881103516
1999-10-25,108.08037567138672
1999-10-26,108.40396881103516
1999-10-27,110.83087158203125
1999-10-28,114.76803588867188
