Date,WMT
1998-01-02,4.157597541809082
1998-01-05,4.197194576263428
1998-01-06,4.223591327667236
1998-01-07,4.210391998291016
1998-01-08,4.150999546051025
1998-01-09,4.032208442687988
1998-01-12,4.17079496383667
1998-01-13,4.17079496383667
1998-01-14,4.190596580505371
1998-01-15,4.21699333190918
1998-01-16,4.236789226531982
1998-01-20,4.408374786376953
1998-01-21,4.296184539794922
1998-01-22,4.223591327667236
1998-01-23,4.17079496383667
1998-01-26,4.085006237030029
1998-01-27,4.150999546051025
1998-01-28,4.289587020874023
1998-01-29,4.243389129638672
1998-01-30,4.203794479370117
1998-02-02,4.309381484985352
1998-02-03,4.4347710609436035
1998-02-04,4.54036283493042
1998-02-05,4.520563125610352
1998-02-06,4.546961307525635
1998-02-09,4.487565994262695
1998-02-10,4.553557872772217
1998-02-11,4.533761978149414
1998-02-12,4.718542575836182
1998-02-13,4.6657490730285645
1998-02-17,4.725142002105713
1998-02-18,4.804336071014404
1998-02-19,4.7779388427734375
1998-02-20,4.7911376953125
1998-02-23,4.876926898956299
1998-02-24,4.949522495269775
1998-02-25,5.035314083099365
1998-02-26,4.989116191864014
1998-02-27,4.890127182006836
1998-03-02,4.949522495269775
1998-03-03,5.114506721496582
1998-03-04,5.114506721496582
1998-03-05,5.160702228546143
1998-03-06,5.299288272857666
1998-03-09,5.4180779457092285
1998-03-10,5.3850789070129395
1998-03-11,5.378481388092041
1998-03-12,5.4180779457092285
1998-03-13,5.4246745109558105
1998-03-16,5.437874794006348
1998-03-17,5.431276321411133
1998-03-18,5.366819858551025
1998-03-19,5.3271636962890625
1998-03-20,5.294116973876953
1998-03-23,5.254457950592041
1998-03-24,5.340382099151611
1998-03-25,5.247851371765137
1998-03-26,5.261069297790527
1998-03-27,5.280895709991455
1998-03-30,5.333773136138916
1998-03-31,5.373429298400879
1998-04-01,5.446132183074951
1998-04-02,5.373429298400879
1998-04-03,5.446132183074951
1998-04-06,5.247851371765137
1998-04-07,5.366819858551025
1998-04-08,5.287509441375732
