Price,Close,High,Low,Open,Volume
Ticker,CSCO,CSCO,CSCO,CSCO,CSCO
Date,,,,,
1998-01-02,6.295074462890625,6.328955795042705,6.030803298070764,6.139222444276757,42853800
1998-01-05,6.281521797180176,6.410269484173979,6.152774110186372,6.301850346685613,70755000
1998-01-06,6.200210094451904,6.3289578332606276,6.0850151410198965,6.206986487140262,54234000
1998-01-07,6.017252445220947,6.16632872610702,5.956266778546411,6.16632872610702,74175000
1998-01-08,6.085014820098877,6.152776261895362,5.80041502749436,5.956267088080252,75943800
1998-01-09,5.881728172302246,6.085013701064096,5.841071066549876,6.003699489559356,83994000
1998-01-12,6.037581920623779,6.044358313635004,5.5835772371959775,5.637787140529026,78526200
1998-01-13,6.071461200714111,6.118894699753002,5.97659482301456,6.071461200714111,62359200
1998-01-14,6.179879665374756,6.193431826269261,6.057908356189728,6.16632750448025,52188600
1998-01-15,6.2273125648498535,6.315402532825654,6.132445586506238,6.152774136097284,49991400
1998-01-16,6.274749279022217,6.3696163155035626,6.240868549066583,6.315406403120371,48571800
1998-01-20,6.450929641723633,6.450929641723633,6.301853334543779,6.3221818936874685,56923200
1998-01-21,6.437375545501709,6.450928329092051,6.15277577540027,6.369614109063067,52260600
1998-01-22,6.261194229125977,6.417046259638329,6.240865676434009,6.349284830917234,43438800
1998-01-23,6.254419326782227,6.356062114435125,6.1256722093407845,6.322181392010274,46768200
1998-01-26,6.139222145080566,6.288298386301277,6.051131554307676,6.2815219961254805,39954600
1998-01-27,6.42382287979126,6.437375041943228,6.057908918284163,6.139223131952406,67517400
1998-01-28,6.708423137664795,6.762632410772361,6.471256869893643,6.491585424856263,104662200
1998-01-29,6.911706447601318,7.020125579062262,6.708420963848338,6.721973122639183,125109000
1998-01-30,6.837170600891113,6.979470480252923,6.803289263648046,6.9726940887286615,51928800
1998-02-02,6.932037830352783,7.1149948405380465,6.884604324623091,7.04045700614423,84201000
1998-02-03,6.830394268035889,7.026903420144967,6.735527887772584,6.932037039881661,88447200
1998-02-04,6.99979829788208,7.128545380647741,6.871050594738244,6.884602755982478,125086200
1998-02-05,6.979470729827881,7.175979887275922,6.979470729827881,7.128546385666423,75684000
1998-02-06,7.148873805999756,7.155650196690859,6.884602633962877,6.965916840743455,47049000
1998-02-09,6.938811779022217,7.196306532917722,6.871049740469463,7.196306532917722,55943400
1998-02-10,7.020127773284912,7.060784882743361,6.871051498477848,6.965917880421476,58441200
1998-02-11,7.033681392669678,7.060786344713609,6.945590763810692,7.0540099516080295,32716800
1998-02-12,7.074337005615234,7.142099061120775,6.952365677932213,6.97269423254605,45181800
1998-02-13,7.033681392669678,7.135324187361436,6.993024274792974,7.040457785775257,30223200
1998-02-17,7.040455341339111,7.1556502618681295,6.952364743065058,7.142098100740648,41662800
1998-02-18,7.101438999176025,7.114991156490962,6.993019879522546,7.006572036837482,44554800
1998-02-19,7.094667911529541,7.18275855084374,7.087891517619693,7.128548640321868,43772400
1998-02-20,7.135324954986572,7.169205683402618,7.013353588234665,7.142101348821162,51100200
1998-02-23,7.114992618560791,7.20985898001556,7.067559127644344,7.196306819915771,38247000
1998-02-24,7.020127773284912,7.257294038333112,7.020127773284912,7.142099101660259,58074600
1998-02-25,7.236965656280518,7.257294211494789,7.026903712273625,7.087889377916438,51615000
1998-02-26,7.2098612785339355,7.223414063332503,7.128547051255815,7.203085506512973,46743600
1998-02-27,7.142099857330322,7.426699653651553,7.142099857330321,7.277623363071466,58439400
1998-03-02,7.074337005615234,7.291174714703409,6.9930227871598865,7.250517605475736,45166800
1998-03-03,6.993023872375488,7.047233152965461,6.871052525764288,6.9726953146069555,52573800
1998-03-04,7.074337005615234,7.101441951893101,6.97269423254605,6.999799178823917,39176400
1998-03-05,6.708423137664795,7.006575070323809,6.627108917814312,6.871051577365759,102384000
1998-03-06,6.979470729827881,6.993022892982768,6.715199515848881,6.782960952001577,64338600
1998-03-09,6.637274742126465,6.986248143521016,6.627110462276348,6.904933904720079,61294800
1998-03-10,6.654214859008789,6.816843323014068,6.505138560211164,6.803290537428057,88537200
1998-03-11,6.789735794067383,6.965916356382212,6.725362258301566,6.769407243785744,75829200
1998-03-12,6.932037830352783,6.952366387040034,6.77618576920996,6.857499995958966,47346600
1998-03-13,6.99979829788208,7.074336115292629,6.952364802959998,7.020126849937519,41296200
1998-03-16,6.979470729827881,7.040456394592265,6.925260836451808,7.026903611059116,33524400
