Date,BAC,GS,JPM,WFC,C,^GSPC,^VIX,XLF,VNQ,GLD,TLT,HYG,LQD,KRE
2007-04-11,34.88245391845703,152.95907592773438,30.556753158569336,20.57855224609375,350.9759826660156,1438.8699951171875,13.489999771118164,20.08245277404785,36.5198860168457,67.08000183105469,49.51825714111328,32.80083465576172,51.41441345214844,29.732698440551758
2007-04-12,34.72361755371094,153.04782104492188,30.587844848632812,20.680925369262695,349.959716796875,1447.800048828125,12.710000038146973,20.048622131347656,36.2713508605957,66.98999786376953,49.52960968017578,32.82282638549805,51.49180603027344,29.67535972595215
2007-04-13,34.82030487060547,152.64129638671875,30.519441604614258,20.855581283569336,349.620849609375,1452.8499755859375,12.199999809265137,20.133216857910156,36.68095397949219,67.83999633789062,49.376564025878906,32.763084411621094,51.40473556518555,29.93025779724121
2007-04-16,35.37968444824219,158.56954956054688,31.066566467285156,21.38555145263672,358.6324462890625,1468.3299560546875,11.979999542236328,20.62385368347168,36.72698974609375,68.4000015258789,49.648643493652344,32.75053024291992,51.44822311401367,30.490995407104492
2007-04-17,35.42802810668945,158.8503875732422,31.197124481201172,21.22896957397461,355.92218017578125,1471.47998046875,12.140000343322754,20.618209838867188,37.205623626708984,68.0,49.92634201049805,32.73481369018555,51.7287483215332,30.459142684936523
2007-04-18,35.78715133666992,160.21788024902344,32.372127532958984,21.650541305541992,359.03887939453125,1472.5,12.420000076293945,20.855077743530273,36.97553253173828,68.37999725341797,50.17571258544922,32.744232177734375,51.74324035644531,30.51648712158203
2007-04-19,35.15868377685547,162.09539794921875,32.384559631347656,21.76496696472168,359.7165222167969,1470.72998046875,12.539999961853027,20.826875686645508,36.72698974609375,67.52999877929688,50.09067153930664,32.85740661621094,51.77706527709961,30.280717849731445
2007-04-20,35.248477935791016,162.88018798828125,32.66433334350586,21.861326217651367,361.95257568359375,1484.3499755859375,12.069999694824219,20.93403434753418,37.003135681152344,68.69999694824219,49.9603271484375,32.83855056762695,51.762611389160156,30.344446182250977
2007-04-23,34.88245391845703,164.671875,32.5026969909668,21.692691802978516,359.85205078125,1480.9300537109375,13.039999961853027,20.87763786315918,37.41736602783203,68.26000213623047,50.141693115234375,32.85740661621094,51.91250991821289,30.10230255126953
2007-04-24,34.95842361450195,163.41322326660156,32.42808532714844,21.54815673828125,357.8194274902344,1480.4100341796875,13.119999885559082,20.815589904785156,37.16420364379883,67.7300033569336,50.32872772216797,33.083717346191406,52.04305648803711,30.044944763183594
2007-04-25,35.37968444824219,167.02621459960938,32.838409423828125,21.849281311035156,364.5272521972656,1495.4200439453125,13.210000038146973,21.097570419311523,37.14120101928711,67.88999938964844,50.153011322021484,33.13401412963867,51.97050476074219,30.204259872436523
2007-04-26,35.027496337890625,166.4412841796875,32.91300964355469,21.722808837890625,362.9010314941406,1494.25,12.789999961853027,21.063739776611328,37.16420364379883,66.87000274658203,49.790321350097656,33.19375228881836,51.85927200317383,30.2871036529541
2007-04-27,35.06203079223633,166.0489501953125,32.670536041259766,21.644527435302734,361.61358642578125,1494.0699462890625,12.449999809265137,21.03554916381836,37.0721549987793,67.55999755859375,49.77897262573242,33.19375228881836,51.84477996826172,30.159648895263672
2007-04-30,35.151790618896484,161.8511199951172,32.39078140258789,21.614397048950195,363.3076477050781,1482.3699951171875,14.220000267028809,20.871990203857422,36.4738655090332,67.08999633789062,50.300357818603516,33.196903228759766,52.09625244140625,30.044944763183594
2007-05-01,35.17250442504883,161.82888793945312,32.490264892578125,21.70473861694336,367.23748779296875,1486.300048828125,13.510000228881836,20.911470413208008,36.15629577636719,66.69000244140625,50.33676528930664,33.200984954833984,52.06709289550781,29.94937515258789
2007-05-02,35.22776412963867,162.5026397705078,32.670536041259766,21.662256240844727,367.9150695800781,1495.9200439453125,13.079999923706055,21.0017032623291,36.4416389465332,66.66000366210938,50.308345794677734,33.1883659362793,52.05253219604492,30.108667373657227
2007-05-03,35.37968444824219,164.03515625,32.763824462890625,21.753292083740234,369.21533203125,1502.3900146484375,13.09000015258789,21.199087142944336,36.538291931152344,67.48999786376953,50.19458770751953,33.19152069091797,51.979679107666016,30.382688522338867
2007-05-04,35.3866081237793,168.3144073486328,32.72029113769531,21.801849365234375,370.17352294921875,1505.6199951171875,12.90999984741211,21.272401809692383,36.22071075439453,68.19000244140625,50.399391174316406,33.232505798339844,52.105960845947266,30.669424057006836
2007-05-07,35.510902404785156,168.22564697265625,32.782466888427734,21.892898559570312,368.73614501953125,1509.47998046875,13.149999618530273,21.30059814453125,36.321983337402344,68.25,50.53586196899414,33.22935485839844,52.16909408569336,30.637557983398438
2007-05-08,35.49710464477539,166.5449676513672,32.60838317871094,21.73508644104004,367.6412048339844,1507.719970703125,13.210000038146973,21.2554874420166,36.08266067504883,67.87999725341797,50.42207717895508,33.254581451416016,52.139957427978516,30.580219268798828
2007-05-09,35.53162384033203,167.74436950683594,33.074642181396484,21.91717529296875,370.3786926269531,1512.5799560546875,12.880000114440918,21.368267059326172,36.4738655090332,67.44999694824219,50.22304916381836,33.166282653808594,52.05744552612305,30.75864028930664
2007-05-10,34.93079376220703,165.17532348632812,32.32861328125,21.486238479614258,364.0826416015625,1491.469970703125,13.600000381469727,21.063739776611328,35.98602294921875,66.0,50.34249496459961,33.286102294921875,52.08168411254883,30.178768157958984
2007-05-11,35.18632125854492,168.43289184570312,32.421875,21.559078216552734,363.4665222167969,1505.8499755859375,12.949999809265137,21.289321899414062,36.4738655090332,66.44999694824219,50.16615676879883,33.305015563964844,52.02823257446289,30.51011848449707
2007-05-14,35.068912506103516,167.4556121826172,32.22292709350586,21.425540924072266,361.7556457519531,1503.1500244140625,13.960000038146973,21.18781089782715,36.266754150390625,66.27999877929688,50.035343170166016,33.30183029174805,51.974822998046875,30.23611831665039
2007-05-15,35.17942810058594,166.12295532226562,32.347251892089844,21.492311477661133,361.27667236328125,1501.18994140625,14.010000228881836,21.137052536010742,35.7144660949707,66.54000091552734,50.018245697021484,33.27662658691406,51.858253479003906,30.044944763183594
2007-05-16,35.30373001098633,168.1442108154297,32.937870025634766,21.98394012451172,375.78515625,1514.1400146484375,13.5,21.379549026489258,35.272640228271484,65.5999984741211,49.98411560058594,33.3648796081543,51.979679107666016,30.248849868774414
2007-05-17,35.31062698364258,168.3440399169922,32.67675018310547,21.996070861816406,375.0325012207031,1512.75,13.510000228881836,21.272401809692383,34.66053009033203,65.05999755859375,49.779354095458984,33.355438232421875,51.824222564697266,30.140518188476562
2007-05-18,35.414215087890625,170.5355682373047,32.66433334350586,22.10532569885254,376.401123046875,1522.75,12.760000228881836,21.328798294067383,34.31074142456055,65.5199966430664,49.44940948486328,33.3648796081543,51.678504943847656,30.159648895263672
2007-05-21,35.37968444824219,169.71376037597656,32.67675018310547,22.03856658935547,375.30621337890625,1525.0999755859375,13.300000190734863,21.351362228393555,34.44881057739258,65.66999816894531,49.597320556640625,33.39642333984375,51.746559143066406,30.29345703125
2007-05-22,35.56615447998047,170.8095245361328,32.50890350341797,21.85041046142578,376.9486083984375,1524.1199951171875,13.0600004196167,21.368267059326172,34.959678649902344,65.19999694824219,49.34132385253906,33.399566650390625,51.581356048583984,30.490995407104492
2007-05-23,35.462562561035156,169.2029266357422,32.3223876953125,21.90503692626953,376.4694519042969,1522.280029296875,13.239999771118164,21.351362228393555,34.69273376464844,65.54000091552734,49.19911193847656,33.37433624267578,51.53278350830078,30.49736785888672
2007-05-24,35.25537109375,167.08541870117188,32.073707580566406,21.87468147277832,375.9220275878906,1507.510009765625,14.079999923706055,21.15961265563965,34.11285400390625,64.75,49.24460220336914,33.38382339477539,51.595916748046875,30.191503524780273
2007-05-25,35.358985900878906,166.9743194580078,32.10479736328125,21.929311752319336,377.2222900390625,1515.72998046875,13.34000015258789,21.199087142944336,34.306121826171875,64.94000244140625,49.13087844848633,33.43107223510742,51.56193542480469,30.191503524780273
2007-05-29,35.35208511352539,169.12890625,32.216712951660156,21.941450119018555,375.78515625,1518.1099853515625,13.529999732971191,21.289321899414062,35.530372619628906,65.06999969482422,49.125152587890625,33.298675537109375,51.45991897583008,30.357192993164062
2007-05-30,35.477760314941406,171.7645263671875,32.365909576416016,21.990013122558594,377.76983642578125,1530.22998046875,12.829999923706055,21.435951232910156,36.48306655883789,64.72000122070312,49.22753143310547,33.37433624267578,51.498779296875,30.420913696289062
2007-05-31,35.407936096191406,170.8909912109375,32.22292709350586,21.90503692626953,372.9109191894531,1530.6199951171875,13.050000190734863,21.373912811279297,36.335784912109375,65.54000091552734,49.13652801513672,33.32077407836914,51.455078125,30.318944931030273
2007-06-01,35.456817626953125,170.8095245361328,32.26642990112305,22.09319496154785,373.0476989746094,1536.3399658203125,12.779999732971191,21.441593170166016,36.38639450073242,66.44000244140625,48.87841796875,33.3162956237793,51.25790023803711,30.694904327392578
2007-06-04,35.505714416503906,170.06912231445312,32.06128692626953,21.971805572509766,370.5841979980469,1539.1800537109375,13.289999961853027,21.413394927978516,36.53367614746094,66.54000091552734,49.10114288330078,33.3448486328125,51.34089279174805,30.64394187927246
2007-06-05,35.37302780151367,169.8100128173828,31.843677520751953,21.795787811279297,368.8731994628906,1530.949951171875,13.630000114440918,21.28367805480957,35.953800201416016,66.37000274658203,48.79277801513672,33.297271728515625,51.17494583129883,30.29984474182129
2007-06-06,35.142601013183594,168.32191467285156,31.433349609375,21.601560592651367,364.9721374511719,1517.3800048828125,14.869999885559082,21.10321617126465,35.709869384765625,66.41000366210938,48.76994323730469,33.256099700927734,51.21885681152344,30.07681655883789
2007-06-07,34.76554870605469,162.9171905517578,30.973299026489258,21.279878616333008,359.4288635253906,1490.719970703125,17.059999465942383,20.747922897338867,34.58687973022461,65.26000213623047,47.89617156982422,33.10078811645508,50.67226791381836,29.700849533081055
2007-06-08,35.09371566772461,166.62649536132812,31.340103149414062,21.449819564819336,364.9721374511719,1507.6700439453125,14.84000015258789,20.990427017211914,35.001094818115234,64.22000122070312,47.856231689453125,33.01204299926758,50.69667053222656,30.044944763183594
2007-06-11,34.94710159301758,168.18121337890625,31.352535247802734,21.53479766845703,365.9302673339844,1509.1199951171875,14.710000038146973,21.086292266845703,34.4764289855957,64.69999694824219,47.71913146972656,32.94231414794922,50.54048538208008,30.044944763183594
2007-06-12,34.674781799316406,168.69203186035156,30.68109703063965,21.352705001831055,359.9763488769531,1493.0,16.670000076293945,20.798675537109375,33.878108978271484,64.0999984741211,47.02814865112305,32.77430725097656,50.267215728759766,29.60527229309082
